sleeper_id,sleeper_name,yahoo_id,yahoo_name,espn_id,espn_name,nffc_id,nffc_name,cbs_id,cbs_name,fftoday_id,fftoday_name,nfl_id,nfl_name,fantasypros_id,fantasypros_name,evanalytics_name
7564,Ja'Marr Chase,33393.0,Ja'Marr Chase,4362628.0,Ja'Marr Chase,18775.0,Ja'Marr Chase,2966320,Ja'Marr Chase,17533.0,Ja'Marr Chase,2565941.0,Ja'Marr Chase,19788.0,Ja'Marr Chase,Ja'Marr Chase
4866,Saquon Barkley,30972.0,Saquon Barkley,3929630.0,Saquon Barkley,16062.0,Saquon Barkley,2185957,Saquon Barkley,16319.0,Saquon Barkley,2560968.0,Saquon Barkley,17240.0,Saquon Barkley,Saquon Barkley
6794,Justin Jefferson,32692.0,Justin Jefferson,4262921.0,Justin Jefferson,17972.0,Justin Jefferson,2871343,Justin Jefferson,17123.0,Justin Jefferson,2564556.0,Justin Jefferson,19236.0,Justin Jefferson,Justin Jefferson
9509,Bijan Robinson,40055.0,Bijan Robinson,4430807.0,Bijan Robinson,20271.0,Bijan Robinson,3168163,Bijan Robinson,18630.0,Bijan Robinson,2569558.0,Bijan Robinson,23133.0,Bijan Robinson,Bijan Robinson
6786,CeeDee Lamb,32687.0,CeeDee Lamb,4241389.0,CeeDee Lamb,17965.0,CeeDee Lamb,2865251,CeeDee Lamb,17141.0,CeeDee Lamb,2563848.0,CeeDee Lamb,19202.0,CeeDee Lamb,CeeDee Lamb
9493,Puka Nacua,40168.0,Puka Nacua,4426515.0,Puka Nacua,20336.0,Puka Nacua,3121687,Puka Nacua,18605.0,Puka Nacua,2570026.0,Puka Nacua,23180.0,Puka Nacua,Puka Nacua
7547,Amon-Ra St. Brown,33500.0,Amon-Ra St. Brown,4374302.0,Amon-Ra St. Brown,18827.0,Amon-Ra St. Brown,2967690,Amon-Ra St. Brown,17712.0,Amon-Ra St. Brown,2566073.0,Amon-Ra St. Brown,19799.0,Amon-Ra St. Brown,Amon-Ra St. Brown
9221,Jahmyr Gibbs,40059.0,Jahmyr Gibbs,4429795.0,Jahmyr Gibbs,20272.0,Jahmyr Gibbs,3162723,Jahmyr Gibbs,18522.0,Jahmyr Gibbs,2569747.0,Jahmyr Gibbs,22968.0,Jahmyr Gibbs,Jahmyr Gibbs
7569,Nico Collins,33477.0,Nico Collins,4258173.0,Nico Collins,18836.0,Nico Collins,2878193,Nico Collins,17540.0,Nico Collins,2566127.0,Nico Collins,20130.0,Nico Collins,Nico Collins
11632,Malik Nabers,40899.0,Malik Nabers,4595348.0,Malik Nabers,21122.0,Malik Nabers,26697761,Malik Nabers,19068.0,Malik Nabers,2572342.0,Malik Nabers,25409.0,Malik Nabers,Malik Nabers
8112,Drake London,33963.0,Drake London,4426502.0,Drake London,19433.0,Drake London,3127902,Drake London,18137.0,Drake London,2567250.0,Drake London,23163.0,Drake London,Drake London
11631,Brian Thomas,40883.0,Brian Thomas Jr.,4432773.0,Brian Thomas Jr.,21131.0,Brian Thomas,3132164,Brian Thomas Jr.,19123.0,Brian Thomas Jr.,2572162.0,Brian Thomas Jr.,23000.0,Brian Thomas Jr.,Brian Thomas Jr.
5859,A.J. Brown,31883.0,A.J. Brown,4047646.0,A.J. Brown,17004.0,A.J. Brown,2258303,A.J. Brown,16527.0,A.J. Brown,2562238.0,A.J. Brown,18218.0,A.J. Brown,A.J. Brown
3198,Derrick Henry,29279.0,Derrick Henry,3043078.0,Derrick Henry,15055.0,Derrick Henry,2061188,Derrick Henry,15602.0,Derrick Henry,2556075.0,Derrick Henry,15514.0,Derrick Henry,Derrick Henry
9226,De'Von Achane,40118.0,De'Von Achane,4429160.0,De'Von Achane,20284.0,De'Von Achane,3171161,De'Von Achane,18452.0,De'Von Achane,2570062.0,De'Von Achane,23136.0,De'Von Achane,Devon Achane
11604,Brock Bowers,40878.0,Brock Bowers,4432665.0,Brock Bowers,21123.0,Brock Bowers,26693971,Brock Bowers,18922.0,Brock Bowers,2572219.0,Brock Bowers,22955.0,Brock Bowers,Brock Bowers
3321,Tyreek Hill,29399.0,Tyreek Hill,3116406.0,Tyreek Hill,14725.0,Tyreek Hill,2131163,Tyreek Hill,15607.0,Tyreek Hill,2556214.0,Tyreek Hill,15802.0,Tyreek Hill,Tyreek Hill
9488,Jaxon Smith-Njigba,40041.0,Jaxon Smith-Njigba,4430878.0,Jaxon Smith-Njigba,20273.0,Jaxon Smith-Njigba,3162959,Jaxon Smith-Njigba,18656.0,Jaxon Smith-Njigba,2570341.0,Jaxon Smith-Njigba,23070.0,Jaxon Smith-Njigba,Jaxon Smith-Njigba
8130,Trey McBride,34010.0,Trey McBride,4361307.0,Trey McBride,19439.0,Trey McBride,2963385,Trey McBride,18148.0,Trey McBride,2568117.0,Trey McBride,22936.0,Trey McBride,Trey McBride
11635,Ladd McConkey,40908.0,Ladd McConkey,4612826.0,Ladd McConkey,21139.0,Ladd McConkey,3163962,Ladd McConkey,19050.0,Ladd McConkey,2572477.0,Ladd McConkey,26122.0,Ladd McConkey,Ladd McConkey
6801,Tee Higgins,32703.0,Tee Higgins,4239993.0,Tee Higgins,17971.0,Tee Higgins,2809208,Tee Higgins,17104.0,Tee Higgins,2563731.0,Tee Higgins,19211.0,Tee Higgins,Tee Higgins
4984,Josh Allen,30977.0,Josh Allen,3918298.0,Josh Allen,16074.0,Josh Allen,2181054,Josh Allen,16228.0,Josh Allen,2560955.0,Josh Allen,17298.0,Josh Allen,Josh Allen
11584,Bucky Irving,40993.0,Bucky Irving,4596448.0,Bucky Irving,21136.0,Bucky Irving,26693770,Bucky Irving,18997.0,Bucky Irving,2572546.0,Bucky Irving,25981.0,Bucky Irving,Bucky Irving
4881,Lamar Jackson,31002.0,Lamar Jackson,3916387.0,Lamar Jackson,16081.0,Lamar Jackson,2181169,Lamar Jackson,16255.0,Lamar Jackson,2560757.0,Lamar Jackson,17233.0,Lamar Jackson,Lamar Jackson
8146,Garrett Wilson,33965.0,Garrett Wilson,4569618.0,Garrett Wilson,19431.0,Garrett Wilson,3123864,Garrett Wilson,18248.0,Garrett Wilson,2568048.0,Garrett Wilson,23072.0,Garrett Wilson,Garrett Wilson
5850,Josh Jacobs,31856.0,Josh Jacobs,4047365.0,Josh Jacobs,16998.0,Josh Jacobs,2257876,Josh Jacobs,16611.0,Josh Jacobs,2562377.0,Josh Jacobs,18269.0,Josh Jacobs,Josh Jacobs
5927,Terry McLaurin,31908.0,Terry McLaurin,3121422.0,Terry McLaurin,17062.0,Terry McLaurin,2139279,Terry McLaurin,16648.0,Terry McLaurin,2562489.0,Terry McLaurin,18466.0,Terry McLaurin,Terry McLaurin
4034,Christian McCaffrey,30121.0,Christian McCaffrey,3117251.0,Christian McCaffrey,15222.0,Christian McCaffrey,2136743,Christian McCaffrey,15950.0,Christian McCaffrey,2557997.0,Christian McCaffrey,16393.0,Christian McCaffrey,Christian McCaffrey
6813,Jonathan Taylor,32711.0,Jonathan Taylor,4242335.0,Jonathan Taylor,17962.0,Jonathan Taylor,2866395,Jonathan Taylor,17224.0,Jonathan Taylor,2564148.0,Jonathan Taylor,19217.0,Jonathan Taylor,Jonathan Taylor
2216,Mike Evans,27535.0,Mike Evans,16737.0,Mike Evans,12686.0,Mike Evans,1824909,Mike Evans,14172.0,Mike Evans,2543468.0,Mike Evans,12119.0,Mike Evans,Mike Evans
11566,Jayden Daniels,40896.0,Jayden Daniels,4426348.0,Jayden Daniels,21126.0,Jayden Daniels,3123337,Jayden Daniels,18946.0,Jayden Daniels,2572564.0,Jayden Daniels,22902.0,Jayden Daniels,Jayden Daniels
8155,Breece Hall,33991.0,Breece Hall,4427366.0,Breece Hall,19427.0,Breece Hall,3123469,Breece Hall,18087.0,Breece Hall,2568030.0,Breece Hall,22982.0,Breece Hall,Breece Hall
9224,Chase Brown,40196.0,Chase Brown,4362238.0,Chase Brown,20292.0,Chase Brown,2965160,Chase Brown,18488.0,Chase Brown,2569642.0,Chase Brown,25324.0,Chase Brown,Chase Brown
2133,Davante Adams,27581.0,Davante Adams,16800.0,Davante Adams,12729.0,Davante Adams,1893167,Davante Adams,14102.0,Davante Adams,2543495.0,Davante Adams,12123.0,Davante Adams,Davante Adams
